date,open,high,low,close,volume
10/13/2009,69.9947,70.6435,69.9836,70.4383,4397564
10/14/2009,70.821,71.3201,70.2054,71.1759,5536910
10/15/2009,70.7378,70.9818,70.0502,70.9707,6905315
10/16/2009,68.2923,68.5973,67.2386,67.4549,11146848
10/19/2009,67.5215,68.4088,67.4383,68.2424,4358590
10/20/2009,68.4087,68.4863,67.3772,68.1092,5093279
10/21/2009,67.7544,68.8246,67.0224,67.0279,4159571
10/22/2009,66.9614,68.2091,66.734,68.0372,3495990
10/23/2009,68.1814,68.2424,66.5455,66.7451,3943907
10/26/2009,66.8837,67.8985,66.2959,66.6064,3792684
10/27/2009,66.6453,67.7322,66.0741,66.9059,5478846
10/28/2009,66.8061,67.4771,66.4734,67.3773,5093113
10/29/2009,67.7377,68.2257,67.4327,68.137,3659796
10/30/2009,68.0039,68.3477,66.8116,66.8837,4473205
11/2/2009,66.9725,67.6157,66.2682,66.856,4089036
11/3/2009,66.2848,67.2053,66.2848,67.1887,3310254
11/4/2009,67.3551,67.9318,67.1887,67.2608,3685260
11/5/2009,67.721,68.4863,67.6545,68.2645,3887407
11/6/2009,68.2423,68.7882,68.0863,68.7882,2901405
11/9/2009,69.0277,70.1863,68.7881,70.1863,4524104
11/10/2009,69.7964,70.7712,69.724,70.6932,3754937
11/11/2009,70.4927,70.9105,70.1529,70.8492,3805223
11/12/2009,70.5262,71.1055,70.2476,70.3312,3114541
11/13/2009,70.4147,71.189,70.3368,70.7601,2901463
11/16/2009,70.8381,71.4341,70.7601,71.4174,4557843
11/17/2009,70.9829,71.6625,70.9661,71.6513,598681
11/18/2009,71.3282,71.4953,71.0497,71.3839,2313209
11/19/2009,70.8994,71.2113,70.4705,71.0442,3092983
11/20/2009,70.8381,71.1277,70.4426,70.7211,3119668
11/23/2009,71.1333,71.824,71.1054,71.4118,4080645
11/24/2009,71.2447,71.4786,70.8213,71.2614,2806372
11/25/2009,71.2335,71.4229,70.7879,70.8993,2311811
11/27/2009,69.4009,70.5317,69.2171,70.0192,1933958
11/30/2009,69.6961,70.5206,69.5847,70.3813,3672319
12/1/2009,70.9049,71.5177,70.6598,71.267,3833075
12/2/2009,70.9216,71.5176,70.8324,70.8603,2679001
12/3/2009,71.0776,71.5622,70.8826,71.0497,3356108
12/4/2009,71.5232,71.8017,70.1863,70.8826,4118516
12/7/2009,70.6765,71.0385,70.5149,70.7656,2414766
12/8/2009,70.7266,70.9383,70.2754,70.6319,3118033
12/9/2009,70.5762,71.5176,70.2476,71.5176,3537838
12/10/2009,71.3728,72.1192,71.3505,72.0468,4123935
12/11/2009,71.863,72.2863,71.6959,72.2362,3843910
12/14/2009,72.2195,72.4034,72.1917,72.3755,3030580
12/15/2009,72.1136,72.3364,71.2669,71.5733,4581204
12/16/2009,71.7126,72.1917,71.4954,71.6959,3712988
12/17/2009,71.3003,71.6123,70.8101,70.9661,3443213
12/18/2009,71.2836,71.5176,70.7433,71.2502,5306028
12/21/2009,71.189,71.824,71.1221,71.6625,2780734
12/22/2009,72.0246,72.4034,71.9633,72.3755,3225304
12/23/2009,72.2474,72.4145,72.0246,72.4145,2404980
12/24/2009,72.3531,72.7319,72.1248,72.7319,2485092
12/28/2009,72.9659,73.7012,72.8155,73.7012,3379648
12/29/2009,73.6844,73.7346,73.417,73.4449,2437955
12/30/2009,73.0996,73.9073,72.7932,73.846,2253137
12/31/2009,73.7569,74.002,72.8322,72.9158,2460797
1/4/2010,73.0718,74.0689,72.8879,73.7792,3586434
1/5/2010,73.3502,73.4449,72.4701,72.8879,3986193
1/6/2010,72.7933,73.2445,72.3087,72.4145,3265974
1/7/2010,72.3421,72.5537,71.8073,72.1638,3403072
1/8/2010,71.8964,72.9269,71.8852,72.8879,2445530
1/11/2010,73.0049,73.0049,71.6735,72.1248,3338860
1/12/2010,71.8742,73.1554,71.8575,72.6986,4708753
1/13/2010,72.6317,73.0384,71.9466,72.5426,3761291
1/14/2010,72.7208,73.924,72.3643,73.7012,4143746
