date,open,high,low,close,volume
1997-10-27,24.0297,24.3695,22.2074,22.2383,3690894
1997-10-28,21.9912,24.6938,21.8986,24.5548,6491756
1997-10-29,24.7092,25.2652,24.1842,24.2768,4437114
1997-10-30,23.8445,24.5548,23.6128,23.6746,3303313
1997-10-31,24.3077,24.5085,23.8599,24.3386,2044203
1997-11-03,24.4931,25.2498,24.4931,25.1108,2240633
1997-11-04,24.9872,25.3888,24.9409,25.188,1805697
1997-11-05,25.3271,25.6822,25.0954,25.3888,1682053
1997-11-06,25.4073,25.5466,25.0205,25.0205,1593193
1997-11-07,24.5098,24.8657,24.3241,24.6336,2344698
1997-11-10,24.9431,24.9586,24.1695,24.1849,1947452
1997-11-11,24.2932,24.7574,24.2468,24.5098,1457440
1997-11-12,24.3551,24.6336,23.8909,23.9219,2129244
1997-11-13,24.1385,24.6027,23.5814,24.5408,2677726
1997-11-14,24.742,25.268,24.5408,25.1288,2496088
1997-11-17,25.5001,25.9643,25.4691,25.6239,2328071
1997-11-18,25.6703,25.8405,25.2526,25.2835,1649280
1997-11-19,25.2526,25.7322,25.1907,25.5156,1903113
1997-11-20,25.7632,25.9953,25.562,25.9334,1737173
1997-11-21,26.0572,26.3358,25.9953,26.1346,2459217
1997-11-24,25.9798,26.181,25.5002,25.5311,1761570
1997-11-25,25.7787,26.6142,25.7168,26.5833,2648309
1997-11-26,26.6142,27.2022,26.5833,27.1713,2549177
1997-11-28,27.0165,27.2177,27.0165,27.1094,767928
1997-12-01,27.2332,28.0533,27.2022,27.8676,3011580
1997-12-02,27.7593,27.7748,27.3724,27.4189,1827242
1997-12-03,27.357,27.6354,26.9856,27.326,2542909
1997-12-04,27.3879,27.5581,26.9546,27.0475,1859921
1997-12-05,27.1094,27.9449,26.9856,27.7902,1794870
1997-12-08,27.9449,28.0997,27.6664,27.9449,1598938
1997-12-09,27.6045,27.7902,27.2332,27.326,1877997
1997-12-10,27.0938,27.1403,26.1035,26.3666,2972988
1997-12-11,25.5001,25.7322,25.0978,25.1597,3832539
1997-12-12,25.5002,25.6085,23.86,24.8503,4188313
1997-12-15,25.1289,25.2371,24.0147,24.9741,3028263
1997-12-16,25.0359,26.0572,25.0359,25.6858,2376135
1997-12-17,25.9953,26.1191,25.2216,25.2526,2283947
1997-12-18,25.299,25.4847,24.5098,24.7574,2676535
1997-12-19,24.5717,25.4847,24.0147,25.2835,3530539
1997-12-22,25.9334,25.9334,24.9741,25.3919,2005876
1997-12-23,25.3609,25.7786,24.417,24.417,1527672
1997-12-24,24.7884,24.9586,24.5098,24.5408,1066926
1997-12-26,24.6027,25.1907,24.5717,25.1752,553714
1997-12-29,25.4692,25.6704,25.4383,25.4383,1195011
1997-12-30,25.6704,26.1191,25.4847,25.5311,1842781
1997-12-31,25.7477,26.0417,25.5466,25.9025,1417304
1998-01-02,25.8716,26.181,25.7633,26.1501,1364736
1998-01-05,26.1346,26.4441,25.9953,26.3512,2598435
1998-01-06,26.0882,26.5369,26.0108,26.0572,1841536
1998-01-07,25.9953,25.9953,25.4073,25.8096,2231324
1998-01-08,25.6239,26.119,25.4846,25.7941,2102463
1998-01-09,25.8251,25.9644,24.6027,24.7729,3720154
1998-01-12,24.3242,25.036,24.1385,24.7884,3320268
1998-01-13,24.8966,25.3609,24.8347,25.2835,1768455
1998-01-14,25.624,25.7477,25.0669,25.4073,2214340
1998-01-15,25.5466,25.9798,25.3454,25.6085,3274173
1998-01-16,25.9644,26.0417,25.8715,25.9953,2169641
1998-01-20,26.0417,26.8309,25.9179,26.8309,2574404
1998-01-21,24.8194,25.2526,24.6646,24.7884,7203210
1998-01-22,24.711,24.9122,24.386,24.6027,3409763
1998-01-23,24.711,24.7574,24.4944,24.5563,2025865
1998-01-26,24.5717,24.7419,24.2622,24.2932,1454280
1998-01-27,23.9528,24.2313,23.6742,23.8909,3635678
1998-01-28,24.0457,24.2622,23.8909,24.0147,2689275
